profile,events,false_alerts,false_alert_rate,false_incidents,largest_false_incident,distinct_bins,top_bin_share,bins_over_link_cap
base,6000.0,6.0,0.001,6.0,1.0,120.0,0.1465,8.5
bin_dense,6000.0,1.0,0.00017,1.0,1.0,12.0,0.4191,10.5
