hidden,layers,params,select_cost_inr,test_cost_inr,test_pr_auc,test_precision,test_recall,test_false_positives
16,1,427.0,4544.0,7278.0,0.8998,0.8995,0.7825,35.0
16,2,1487.0,1617.0,1848.0,0.9904,0.9554,0.96,18.0
16,3,2547.0,786.0,1106.0,0.9968,0.9586,0.99,17.0
32,1,843.0,3816.0,5674.0,0.9254,0.9123,0.8475,32.0
32,2,5007.0,673.0,892.0,0.9968,0.9635,0.99,15.0
32,3,9171.0,466.0,645.0,0.9978,0.9755,0.9875,10.0
64,1,1675.0,3244.0,4398.0,0.9505,0.9342,0.88,24.0
64,2,18191.0,772.0,706.0,0.9973,0.9705,0.995,12.0
64,3,34707.0,673.0,732.0,0.9988,0.9732,0.9925,11.0
